Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
126,111721,CHAIN STAY ASSY BLACK,1668.00,
127,111760/3,GEAR DOG,260.00,
128,111798,BRAKE SHOE LNG WTH RIVETS(KIT),121.00,KIT
129,111810,CHAIN STAY PIVOT NUT,53.00,
130,111819,OIL PIPE,412.00,
131,111825,"PISTON ASSY. 020"" O/S CHROME",964.00,KIT
132,111826,"PISTON ASSY. 040"" O/S CHROME",964.00,KIT
133,111859C,CRANK CASE ASSY 350CC CDI,19804.00,
134,111863/C,STUD,33.00,
135,111864/B,STUD,29.00,
136,111865/3,"D/S OIL SEAL, 62X35X10",44.00,
137,111866/B,RETAINER,4.00,
138,111869,DRIVE SHAFT,653.00,
139,111888/A,OIL SEAL ADAPTOR,46.00,
140,111889,CH.CASE BACK HALF STD,1323.00,
141,111901/A,HEXAGON BOLT M8*70,10.00,
142,111914,HEX. BOLT M8X40L,10.00,
143,111947,DUAL SEAT SUPPORT RUBBER,18.00,
144,112011,"CHAIN,REAR",486.00,
145,112024/B,K.S.CRANK,457.00,
146,112027/B, BUSH,32.00,
147,112029,BUSH,15.00,
148,112049,GASKET KIT DECARBONISING(500CC,326.00,
149,112050,GASKET KIT OVERHAULING(500CC),345.00,
150,112052,"RING SET ,STD",166.00,KIT
151,112053,PISTON  RING SET 020'',179.00,
152,112054,"PISTON RING SET .040""",179.00,
153,112056,VALVE SPRING KIT,115.00,KIT
154,112058, IR FILTER MACHISMO,228.00,
155,112078/B,SHIM SPINDLE 0.1T - RETROFIT,6.00,
156,112089,C.O EMISSION KIT W/O AIR FILTE,189.00,
157,112095/B,AIR REGULATING SCREW,30.00,
158,112096/A,AIR REGULATING SPRIN,3.00,
159,112137,AIR FILTER STUD(D),18.00,
160,112144,GASKET,9.00,
161,112146,CHAIN & SPROCKET KIT,1450.00,KIT
162,112147,OIL PUMP KIT,305.00,KIT
163,112153,WHEEL SPOKE & NIPPLE KIT,399.00,KIT
164,112154,FT WHEEL SPOKE & NIPPLE KIT,399.00,KIT
165,112161,FILTER ELEMENT,116.00,
166,112162,SILENCER STD (SHORT),1256.00,AFTERMARKET PARTS
167,112166,LAY SHAFT BUSH,455.00,
168,112183,FT MUD STAY FRONT 350CC,80.00,
169,112185,"STAY,CENTRE",79.00,
170,112187,FT. MUD. STAY REAR 350CC,69.00,
171,112212,"CHAIN,REAR",603.00,
172,112241,RECTIFIER,337.00,
173,112242,REGULATOR,349.00,
174,113007,FRONT CHAIN,331.00,
175,113027/D,BRAKE SPINDLE,190.00,
176,113030/5,SPLIT PIN,2.00,
177,113049/2,GREASE NIPPLE   AM6 X 1   IS;40,5.00,
178,113064,SPACER (SMALL),12.00,
179,113065,CONTROL SPRING,6.00,
180,113072/A,GREASE NIPPLE,6.00,
181,113089/C,BRAKE LEVER ASSY,289.00,
182,120005/B,DOWEL,8.00,
183,120332,"HEX.NUT,    1/2 ""BSF",19.00,
184,120521,"HEX.NUT,    5/16 CEI",5.00,
185,123781,BEADING,17.00,
186,123790,HANDLE BAR (HIGH LIFT) - PLATED,312.00,
187,124168/7,H/B/FIXING CLAMP,56.00,
188,124169/9,HANDLE BAR FIX STUD,17.00,
189,124267,SPEEDO CABLE INNER,54.00,
190,124334/3,"X.THIN NUT,   5/8CEI",22.00,
191,124338,FORK END RH,2287.00,
192,124340,FORK END LH,2287.00,
193,124342/A,CIRCLIP,3.00,
194,124346,VALVE PORT,67.00,
195,124559/3,IGNITION COIL,515.00,
196,140001/C,"SPRING COLLAR,BOTTOM",10.00,
197,140003/A,"VALVE SPRING,INNER",29.00,
198,140004/8,"VALVE SPRING,OUTER",39.00,
199,140005/B,SPLIT COLLAR,6.00,
200,140006/B,STEM CAP,16.00,
201,140007,"STUD,   1/4""CEI X 1""",7.00,
202,140008/3,"STUD,   1/4""CEI X 2-1/16""",10.00,
203,140011/4,KEY,11.00,
204,140012/5,KEY,10.00,
205,140013/B,TIMING SHAFT NUT,21.00,
206,140014,"SLOTTED HEX.SCREW,   1/4",9.00,
207,140015/B,"LOCK SCREW ,    1/4"" CEI",8.00,
208,140016/B,LOCK RING,6.00,
209,140020/A,FLOATING BUSH,943.00,
210,140023/B,THRUST WASHER,41.00,
211,140024/B,"CRANK PIN NUT, 7/8""CEI",30.00,
212,140027/3,FIBRE WASHER,4.00,
213,140029/6,OIL FILTER ELEMENT,30.00,
214,140032/8,SPRING,3.00,
215,140034,TCOC BUFFED,25.00,
216,140039,FIBRE WASHER,3.00,
217,140040/G,OIL PUMP SPINDLE,408.00,
218,140041/14," DISC,FEED PUMP",146.00,
219,140042/C,"DISC,RETURN PUMP",146.00,
220,140043/A,"PLUNGER,FEED PUMP",24.00,
221,140044/A,"PLUNGER,RETURN PUMP",24.00,
222,140045,SPRING,6.00,
223,140046/C,OIL PUMP COVER BUFF,26.00,
224,140049/B,PAD,9.00,
225,140052,FILTER PLUG,57.00,
226,140056/3,"HEX.NUT,   1/4""",6.00,
227,140061/C,TAPPET,122.00,
228,140062/B,TAPPET GUIDE,121.00,
229,140064/B,I.P.SPINDLE,61.00,
230,140078,"HEX.NUT,    5/16 CEI",29.00,
231,140079/5,"HEX.NUT,    5/16 CEI",4.00,
232,140081," TUD,    1/4""X6-3/4""",31.00,
233,140082,"STUD,    1/4""X6-3/4""",33.00,
234,140092,"PUSHROD END,TOP",22.00,
235,140093,"PUSHROD END,BOTTOM",12.00,
236,140094,PUSHROD CUP,48.00,
237,140095,PUSH ROD NUT,6.00,
238,140097/3,C.A.WASHER,8.00,
239,140098/1,C.A.WASHER,7.00,
240,140099/A,DECOMPRESSOR VALVE,65.00,
241,140100/A,SPRING,5.00,
242,140101/B,SPRING CAP,4.00,
243,140103/C,CABLE BLOCK,12.00,
244,140107,CLUTCH SPROCKET BALL (3/16-DIA),2.00,
245,140115,TIMING PINION (1DOT),342.00,
246,140118/6,KEY,8.00,
247,140119/F,OIL PUMP WORM NUT AVL,185.00,
248,140120/1,IDLER PINION ASSY,272.00,
249,140121/C,I.P.THRUST WASHER,11.00,
250,140122,OIL UNION,20.00,
251,140124/3,OIL FILLER CAP,107.00,
252,140125,"BARREL STUD,5/16""CEIx5 -",36.00,
253,140126,"NUT,   1/4""CEI",4.00,
254,140128,FIBRE WASHER,3.00,
255,140129,"LOCK WASHER,INTERNAL TEETH",3.00,
256,140131, ALUMINIUM WASHER,2.00,
257,140133/C,NUT,23.00,
258,140134/C,NUT,19.00,
259,140135, ROCKER OIL PIPE BANJO UNION,35.00,
260,140136,R O P BANJO WASHER,3.00,
261,140144,"HEX.NUT,   5/16""CEI",8.00,
262,140145,OIL FEED PLUG CORK RETAIN,10.00,
263,140147,WASHER 5/16 SHAKE PROOF,4.00,
264,140149,HIGH TENSION LEAD,35.00,
265,140155,FIBRE WASHER,3.00,
266,140160/3,SLOTTED RAISED CH.HD.SCR,8.00,
267,140165/18,DISTRIBUTOR PINION,214.00,
268,140166/C,NUT,16.00,
269,140167/C,BREATHER PIPE,36.00,
270,140168/1,PLAIN WASHER,3.00,
271,140177,"STUD,     5/16""BSF X 1-3/4'",9.00,
272,140178,"HEX NUT,   5/16 BSF",8.00,
273,140184,OIL VALVE PLATE,10.00,
274,140185/B,CIRCLIP,3.00,
275,140186,K SPRING STUD NUT,18.00,
276,140189/3,STEERING STEM LOCK NUT WASHER,23.00,
277,140191/2,"HEX.NUT,    5/16  BSF",3.00,
278,140193/B,RUBBER SPACER,10.00,
279,140194,"HEX.SOCKET HD.SCR,    3/8""BSFX",51.00,
280,140195,"SLEEVE,TAPPED",17.00,
281,140196/D,"SLEEVE,PLAIN",19.00,
282,140201,"CLUTCH BALL (DIA 1/4"")",3.00,
283,140202/B,HANDLE BAR CLIP PLATED,94.00,
284,140206/5,PLAIN WASHER,3.00,
285,140219,VALVE PLATE,9.00,
286,140225,PILOT LAMP BULB,21.00,
287,140233,TAIL LAMP BULB-6V,30.00,
288,140243,"HEX. NUT,   3/16 CEI",3.00,
289,140247,SLOTTED RD. HD.SCREW,10.00,
290,140248,RUBBER RING,12.00,
291,140270,UNIT LIGHT,379.00,
292,140277,"STUD,     3/8 X 2.5""",23.00,
293,140278/A,DOWEL,7.00,
294,140282,"CAP NUT,    3/8"" CEI",50.00,
295,140283,PLAIN WASHER,2.00,
296,140291,"G/BOX STUD(S),3/8""CEIX5-1/4""",28.00,
297,140297/C,JOINT RUBBER,41.00,
298,140299,FIBRE WASHER,6.00,
299,140300,"HEX.NUT,   3/8""",4.00,
300,140302/3,"HEX NUT WITH NYLON INSERT, M8",6.00,
301,140303,PLAIN WASHER,3.00,
302,140305,"LOCK WASHER, INTERNAL TEETH",3.00,
303,140306,"LOCK WASHER, INTERNAL TEETH",3.00,
304,140311/B,DISTANCE PIECE,53.00,
305,140312,"STUD,     5/16 CEI X 1.680",16.00,
306,140313,PLUG,130.00,
307,140314,FIBRE WASHER,3.00,
308,140316/4,KEY,10.00,
309,140317/1,"NUT, ROTOR",46.00,
310,140318/B,SINGLE COIL SPR.LOCK WASHER,7.00,
311,140321/4,"CLUTCH SCREW (1/4""*3/4""BSF)",9.00,
312,140322/A,CLUTCH SPRING,8.00,
313,140327/D,DISTANCE PIECE,100.00,
314,140330/6,ADJUSTER ASSY,15.00,
315,140331/A,SPRING,3.00,
316,140332/B,PLUNGER,10.00,
317,140333/B,KS PAWL (M/CD),96.00,
318,140334/A,WASHER-DISTANCE KSS ASSY,10.00,
319,140335/C,MAIN SHAFT SLEEVE,1100.00,
320,140336,CLUTCH LEVER,191.00,
321,140337,KICK STARTER SHAFT ASSY,654.00,
322,140338,O'-RING,12.00,
323,140343,CLUTCH ROD PAD,33.00,
324,140346/3,SINGLE COIL SPRING LOCK WHASHE,6.00,
325,140349/1,CLUTCH CAP,38.00,
326,140355/B,RIM TAPE,37.00,
327,140360,FR.BR.OPR.CAM.LEVER,66.00,
328,140369/1,"HEX.NUT,    1/4""CEI",6.00,
329,140370,BRAKE SHOE W/LININGS,134.00,
330,140372/B,BRAKE SHOE LINING,47.00,
331,140373,RIVETS,3.00,
332,140374/B,SPRING,7.00,
333,140376/2,SINGLE COIL SPRING LOCK WASHER,8.00,
334,140377,COLLAR,14.00,
335,140378/C,FELT WASHER,9.00,
336,140388,"NUT,COVER PLATE",29.00,
337,140401,"SLOTTED RD. HD.SCREW,   1/4"" B",8.00,
338,140403,"STUD,    5/16 X 22 BSF RH",7.00,
339,140404,STUD5/16 X 1 X 22 BSF,7.00,
340,140466/B,FIBRE WASHER,6.00,
341,140470,"SLOTTED RD.HD.SCREW,   6BA X 3",3.00,
342,140471,"STUD,     3/8 CEI X 3-1/4""",18.00,
343,140472,"STUD,    3/8 CEI X 2-5/8""",22.00,
344,140508,"WASHER ,S.L.SWITCH",1.00,
345,140527,ROUGH WASHER,2.00,
346,140540,HEX NUT M4,3.00,
347,140541,WASHER,1.00,
348,140542,"SLOTTED CH.HD.SCR,   M4 X 12",3.00,
349,140544,"0NUT,REAR BRAKE",19.00,
350,140553,FORK PLUG SCREW,34.00,
351,140558/B,FORK PLUG SCREW IMPROVED,42.00,
352,140566,"STUD,   1/4""CEI X 2-3/8""",9.00,
353,140567/5, ROCKER COVER (IN),236.00,
354,140568/3,ROCKER COVER (EX),275.00,
